post_time,post_name,post_author,post_publication,post_claps,post_responses,post_tag_1,post_tag_2,post_tag_3,post_tag_4,ranking,Searched
2017-11-18,Did Karl Marx Predict Artificial Intelligence 170 Years Ago?,Michael R. McBride,Independent,0.602,6,Technology,Marx,Artificial Intelligence,History,116,Artificial Intelligence
2019-03-13,How To Start a Career In Artificial Intelligence In 2020? A Step by Step Guide,Albert Christopher,Independent,0.418,6,Artificial Intelligence,Machine Learning,Technology,Tech,108,Artificial Intelligence
2018-09-05,Understanding Genetic Algorithms in the Artificial Intelligence Spectrum,Manish Kumar,Analytics Vidhya,1.2,6,Machine Learning,Deep Learning,Neural Networks,Genetic Algorithm,53,Artificial Intelligence
2017-08-09,Transitioning from Software Engineering to Artificial Intelligence,Emmanuel Ameisen,Insight,0.8029999999999999,0,Machine Learning,AI,Software Engineering,Insight Ai,65,Artificial Intelligence
2016-11-07,"If you want to learn Data Science, take a few of these statistics classes",David Venturi,We’ve moved to freeCodeCamp.org/news,3.9,23,Data Science,Programming,Learning To Code,Technology,20,Data Science
2017-12-04,"The Difference Between Artificial Intelligence, Machine Learning, and Deep Learning",Calum McClelland,IoT For All,9.4,40,Artificial Intelligence,Machine Learning,Deep Learning,IoT,5,Artificial Intelligence
2019-01-22,Mastering the Data Science Interview Loop,Andrei Lyskov,Towards Data Science,3.8,7,didn't_use,didn't_use,didn't_use,didn't_use,57,Data Science
2018-05-03,Artificial Intelligence for Music Videos,"Daniel Shapiro, PhD",Towards Data Science,1.2,5,Artificial Intelligence,Deep Learning,Data Science,Machine Learning,35,Artificial Intelligence
2021-01-12,I Studied 365 Data Visualizations in 2020,Avery Smith,Towards Data Science,0.493,1,didn't_use,didn't_use,didn't_use,didn't_use,88,AI
2019-02-24,"How I Eat For Free in NYC Using Python, Automation, Artificial Intelligence, and Instagram",Chris Buetti,Independent,11.0,58,Social Media,Python,Instagram,Data Science,4,Artificial Intelligence
2018-01-19,How To Create A Successful Artificial Intelligence Strategy,Amit Ashwini,The Startup,0.522,2,Machine Learning,AI,Artificial Intelligence,Product Development,157,Artificial Intelligence
2018-09-20,Artificial Intelligence + Blockchain = Passive Income (Forever?),Kirill Shilov,HackerNoon.com,7.0,43,Blockchain,Software Development,Bitcoin,Artificial Intelligence,7,Artificial Intelligence
2018-08-22,Use Kaggle to start (and guide) your ML/ Data Science journey  Why and How,Nityesh Agarwal,Towards Data Science,7.1,30,Machine Learning,Kaggle,Data Science,Towards Data Science,26,Data Science
2019-10-28,Data Visualization  Which graphs should I use? (Seaborn Examples),Rohan Gupta,Towards Data Science,0.395,2,didn't_use,didn't_use,didn't_use,didn't_use,97,AI
2018-09-10,"Programming Skills, A Complete Roadmap for Learning Data Science  Part 1",Rebecca Vickery,vickdata,4.3,16,Data Science,Learning To Code,Python,Machine Learning,43,Data Science
2018-10-09,Storytelling with Data: A Data Visualization Guide for Business Professionals,Admond Lee,Towards Data Science,0.252,1,Data Visualization,Towards Data Science,Data Science,Motivation,155,AI
2017-03-10,Gestalt Principles for Data Visualization,Elijah Meeks,Independent,0.322,0,Data Visualization,Design,Data Science,didn't_use,127,AI
2017-03-03,Making Annotations First-Class Citizens in Data Visualization,Elijah Meeks,Independent,0.255,2,Data Visualization,JavaScript,Design,React,116,AI
2018-10-09,Data visualization for color accessibility,Artur,UX Collective,0.451,4,Design,Accessibility,Product,Apps,124,AI
2018-06-12,"Data Science, Machine Learning and Artificial Intelligence for Art",Vishal Kumar,Towards Data Science,2.9,9,didn't_use,didn't_use,didn't_use,didn't_use,127,Data Science
2019-10-16,Kepler.GL & Jupyter Notebooks: Geospatial Data Visualization with Ubers opensource Kepler.GL,Abdishakur,Towards Data Science,0.47,3,didn't_use,didn't_use,didn't_use,didn't_use,94,AI
2020-07-09,"4 pillars of data visualization: distribution, relationship, composition, comparison",Mahbubul Alam,Towards Data Science,0.097,0,didn't_use,didn't_use,didn't_use,didn't_use,179,AI
2018-11-08,Lesser Known Python Libraries for Data Science,Parul Pandey,Analytics Vidhya,5.8,20,About Us,Deep Learning,Machine Learning,Hackathon,32,Data Science
2020-07-21,Remote Data Science Internships For Everyone [With Certificates],Frederik Bussler,Noteworthy - The Journal Blog,1.6,4,Your Stories,Try Journal,didn't_use,didn't_use,114,Data Science
2017-04-05,"How To Prepare for Automation? Or, Why We Need More Artificial Intelligence Ecosystems Now!",Erik P.M. Vermeulen,HackerNoon.com,0.094,2,Startup,Venture Capital,Artificial Intelligence,Innovation,141,Artificial Intelligence
2017-02-08,Mark Cuban on Why You Need to Study Artificial Intelligence or Youll be a Dinosaur in 3 Years,Mark Suster,Both Sides of the Table,0.971,17,Startup,Artificial Intelligence,Startup Lessons,Venture Capital,14,Artificial Intelligence
2021-05-11,Artificial Intelligence Books you should read in 2021,Przemek Chojecki,Data Science Rush,0.19,7,Courses,Our Website,didn't_use,didn't_use,128,Artificial Intelligence
2018-10-05,How to Data Science without a Degree,Jason Jung,Towards Data Science,4.5,19,didn't_use,didn't_use,didn't_use,didn't_use,58,Data Science
2020-02-29,Complete Guide to Data Visualization with Python,Albert Sanchez Lafuente,Towards Data Science,0.928,3,didn't_use,didn't_use,didn't_use,didn't_use,49,AI
2019-02-03,How It Feels to Learn Data Science in 2019,Thomas Nield,Towards Data Science,7.4,37,Data Science,Towards Data Science,Machine Learning,Artificial Intelligence,25,Data Science
2020-06-07,Why is Data Science Losing Its Charm?,Harshit Ahuja,Towards Data Science,4.8,57,didn't_use,didn't_use,didn't_use,didn't_use,18,Data Science
2016-02-14,7 Data Visualization Types You Should be Using More (and How to Start),Evan Sinar,Independent,1.1,11,Data Visualization,Analytics,Data Science,A Place to Read More about It,32,AI
2018-02-10,How to write a production-level code in Data Science?,"Venkatesh Pappakrishnan, Ph.D.",Towards Data Science,3.4,30,didn't_use,didn't_use,didn't_use,didn't_use,67,Data Science
2019-01-29,Why visual literacy is essential to good data visualization,Benjamin Cooley,Towards Data Science,0.945,9,Data Visualization,Data,Design,Data Science,44,AI
2020-02-04,I Designed My Own Machine Learning and Artificial Intelligence Degree,Angelica Dietzel,Better Programming,0.905,8,Archive,Write For Us,didn't_use,didn't_use,51,Artificial Intelligence
2017-09-19,Artificial Intelligence: Get your users to label your data,"Daniel Shapiro, PhD",Towards Data Science,0.843,2,Machine Learning,Artificial Intelligence,Deep Learning,Data Science,82,Artificial Intelligence
2019-03-06,A full-stack data science project,Naren Santhanam,Towards Data Science,1.1,9,didn't_use,didn't_use,didn't_use,didn't_use,179,Data Science
2017-10-30,45 Ways to Activate Your Data Science Career,Kirill Eremenko,Towards Data Science,3.2,6,Data Science,Careers,Machine Learning,Towards Data Science,95,Data Science
2018-03-01,5 Quick and Easy Data Visualizations in Python with Code,George Seif,Towards Data Science,10.9,19,Data Science,Visualization,Python,Data Visualization,2,AI
2017-12-12,Embodied Learning is Essential to Artificial Intelligence,Carlos E. Perez,Intuition Machine,1.7,8,Artificial Intelligence,Deep Learning,Strategy,Deep Learning Playbook,45,Artificial Intelligence
2017-05-09,Top 15 Python Libraries for Data Science in 2017,Igor Bobriakov,ActiveWizards — AI & ML for startups,5.9,22,Machine Learning,Data Science,Python,didn't_use,24,Data Science
2020-05-22,Constructing a Career in Data Visualization: The How,Will Chase,Nightingale,0.631,8,All stories,Topics in Data Viz,How To & Career,Historic Data Viz,84,AI
2018-03-31,The World of Data Visualization,Syed Sadat Nazrul,Towards Data Science,0.272,0,Data Visualization,Machine Learning,didn't_use,didn't_use,172,AI
2017-01-19,Types of Artificial Intelligence Learning Models,Jesus Rodriguez,Independent,0.222,3,didn't_use,didn't_use,didn't_use,didn't_use,153,Artificial Intelligence
